x-axis,1,2
second,Volt,Volt
+2.7010000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7012000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7014000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7016000E-03,-383.9194775E-03,+30.9341692841E+00
+2.7018000E-03,-383.9194775E-03,+30.6075361157E+00
+2.7020000E-03,-383.9194775E-03,+31.0095461691E+00
+2.7022000E-03,-383.9194775E-03,+31.3361793375E+00
+2.7024000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7026000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7028000E-03,-346.2310350E-03,+31.0095461691E+00
+2.7030000E-03,-19.5978666E-03,+31.2984908950E+00
+2.7032000E-03,-346.2310350E-03,+30.6075361157E+00
+2.7034000E-03,+18.0905759E-03,+30.9718577266E+00
+2.7036000E-03,-19.5978666E-03,+30.9718577266E+00
+2.7038000E-03,-346.2310350E-03,+30.9718577266E+00
+2.7040000E-03,-19.5978666E-03,+30.9341692841E+00
+2.7042000E-03,-346.2310350E-03,+30.5698476732E+00
+2.7044000E-03,-19.5978666E-03,+30.6452245582E+00
+2.7046000E-03,-346.2310350E-03,+31.3361793375E+00
+2.7048000E-03,-19.5978666E-03,+30.9718577266E+00
+2.7050000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7052000E-03,-346.2310350E-03,+31.0095461691E+00
+2.7054000E-03,-19.5978666E-03,+31.3361793375E+00
+2.7056000E-03,-346.2310350E-03,+30.9718577266E+00
+2.7058000E-03,+18.0905759E-03,+30.9718577266E+00
+2.7060000E-03,+18.0905759E-03,+30.9718577266E+00
+2.7062000E-03,+18.0905759E-03,+30.9718577266E+00
+2.7064000E-03,+18.0905759E-03,+30.9341692841E+00
+2.7066000E-03,-19.5978666E-03,+30.6075361157E+00
+2.7068000E-03,-346.2310350E-03,+30.9718577266E+00
+2.7070000E-03,-19.5978666E-03,+30.9718577266E+00
+2.7072000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7074000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7076000E-03,-383.9194775E-03,+30.9341692841E+00
+2.7078000E-03,-346.2310349E-03,+30.6075361157E+00
+2.7080000E-03,-19.5978666E-03,+30.9341692841E+00
+2.7082000E-03,-383.9194775E-03,+30.6075361157E+00
+2.7084000E-03,-383.9194775E-03,+30.9718577266E+00
+2.7086000E-03,-346.2310349E-03,+30.9341692841E+00
+2.7088000E-03,-19.5978666E-03,+30.6452245582E+00
+2.7090000E-03,-383.9194775E-03,+31.3361793375E+00
