x-axis,1,2
second,Volt,Volt
-160.0000E-06,-785.9295309E-03,+30.9718577266E+00
-159.9900E-06,-785.9295309E-03,+30.9718577266E+00
-159.9800E-06,-534.6732475E-03,+30.9718577266E+00
-159.9700E-06,-383.9194775E-03,+30.7206014432E+00
-159.9600E-06,-383.9194775E-03,+30.5698476732E+00
-159.9500E-06,-383.9194775E-03,+30.8211039565E+00
-159.9400E-06,-132.6631941E-03,+30.9718577266E+00
-159.9300E-06,-233.1657074E-03,+30.7206014432E+00
-159.9200E-06,-383.9194775E-03,+30.5698476732E+00
-159.9100E-06,-383.9194775E-03,+30.5698476732E+00
-159.9000E-06,-383.9194775E-03,+30.8211039566E+00
-159.8900E-06,-635.1757608E-03,+30.9718577266E+00
-159.8800E-06,-534.6732475E-03,+30.9718577266E+00
-159.8700E-06,-635.1757608E-03,+31.2231140099E+00
-159.8600E-06,-534.6732475E-03,+31.1226114966E+00
-159.8500E-06,-383.9194775E-03,+31.2231140099E+00
-159.8400E-06,-383.9194775E-03,+31.1226114966E+00
-159.8300E-06,-383.9194775E-03,+30.7206014432E+00
-159.8200E-06,-635.1757608E-03,+31.0723602399E+00
-159.8100E-06,-785.9295309E-03,+31.1226114966E+00
-159.8000E-06,-785.9295309E-03,+30.9718577266E+00
-159.7900E-06,-785.9295309E-03,+30.7206014432E+00
-159.7800E-06,-534.6732475E-03,+30.5698476732E+00
-159.7700E-06,-635.1757608E-03,+30.8211039565E+00
-159.7600E-06,-534.6732475E-03,+30.7206014432E+00
-159.7500E-06,-383.9194775E-03,+30.8211039565E+00
-159.7400E-06,-635.1757608E-03,+30.9718577266E+00
-159.7300E-06,-785.9295309E-03,+30.9718577266E+00
-159.7200E-06,-534.6732475E-03,+30.9718577266E+00
-159.7100E-06,-635.1757608E-03,+30.9718577266E+00
-159.7000E-06,-534.6732475E-03,+30.9718577266E+00
-159.6900E-06,-383.9194775E-03,+30.9718577266E+00
-159.6800E-06,-383.9194775E-03,+30.9718577266E+00
-159.6700E-06,-383.9194775E-03,+30.9718577266E+00
-159.6600E-06,-383.9194775E-03,+30.9718577266E+00
-159.6500E-06,-635.1757608E-03,+30.7206014432E+00
-159.6400E-06,-785.9295309E-03,+30.5698476732E+00
-159.6300E-06,-785.9295309E-03,+30.8211039565E+00
-159.6200E-06,-534.6732475E-03,+30.9718577266E+00
-159.6100E-06,-383.9194775E-03,+30.9718577266E+00
-159.6000E-06,-635.1757608E-03,+30.9718577266E+00
-159.5900E-06,-785.9295309E-03,+30.9718577266E+00
